Prise en compte;Code INSEE Commune Nouvelle;Nom Commune Nouvelle Siège;Code INSEE Commune Déléguée (non actif);Nom Commune Déléguée;Adresse 2016 - Code INSEE;Adresse 2016 - L6 Code Postal;Adresse 2016 - L6 Libellé Acheminement;Adresse 2016 - Ligne 5 Commune déléguée;Adresse 2016 - Code INSEE associé à la L5;Adresse 2015 - Code INSEE;Adresse 2015 - L6 Code Postal;Adresse 2015 - Libellé Acheminement;Adresse 2015 - L5;Adresse 2015 - Code INSEE Associé à la L5
DÉCEMBRE 2016;24087;Castels et Bézenac;24041;Bézenac;;;CASTELS ET BEZENAC;BEZENAC;;;;BEZENAC;;
FÉVRIER 2016;24142;Coux et Bigaroque-Mouzens;24142;Coux-et-Bigaroque;;;COUX ET BIGAROQUE MOUZENS;COUX ET BIGAROQUE;;;;COUX ET BIGAROQUE;;
DÉCEMBRE 2016;24147;Cubjac-Auvézère-Val d'Ans;24475;Saint-Pantaly-d’Ans;;;CUBJAC AUVEZERE VAL D ANS;ST PANTALY D ANS;;;;ST PANTALY D ANS;;
DÉCEMBRE 2016;24253;Mareuil en Périgord;24203;Les Graulges;;;MAREUIL EN PERIGORD;LES GRAULGES;;;;LES GRAULGES;;
DÉCEMBRE 2016;24253;Mareuil en Périgord;24283;Monsec;;;MAREUIL EN PERIGORD;MONSEC;;;;MONSEC;;
DÉCEMBRE 2018;24259;Eyraud-Crempse-Maurens;24427;Saint-Jean-d'Eyraud;;;EYRAUD CREMPSE MAURENS;ST JEAN D EYRAUD;;;;ST JEAN D EYRAUD;;
FÉVRIER 2016;24316;Parcoul-Chenaud;24316;Parcoul;;;PARCOUL CHENAUD;PARCOUL;;;;PARCOUL;;
DÉCEMBRE 2016;24362;Val de Louyre et Caudeau;24362;Sainte-Alvère-Saint-Laurent Les Bâtons;;;VAL DE LOUYRE ET CAUDEAU;ST LAURENT DES BATONS;;;;STE ALVERE ST LAURENT LES BATONS;ST LAURENT DES BATONS;
FÉVRIER 2016;24376;Saint Aulaye-Puymangou;24343;Puymangou;;;ST AULAYE PUYMANGOU;PUYMANGOU;;;;PUYMANGOU;;
DÉCEMBRE 2016;24490;Saint Privat en Périgord;24368;Saint-Antoine-Cumond;;;ST PRIVAT EN PERIGORD;ST ANTOINE CUMOND;;;;ST ANTOINE CUMOND;;
FÉVRIER 2016;24540;Sorges et Ligueux en Périgord;24239;Ligueux;;;SORGES ET LIGUEUX EN PERIGORD;LIGUEUX;;;;LIGUEUX;;
DÉCEMBRE 2016;25334;Levier;25319;Labergement-du-Navois;;;LEVIER;LABERGEMENT DU NAVOIS;;;;LABERGEMENT DU NAVOIS;;
OCTOBRE 2018;25368;Marchaux-Chaudefontaine;25368;Marchaux;;;MARCHAUX CHAUDEFONTAINE;MARCHAUX;;;;MARCHAUX;;
DÉCEMBRE 2016;25424;Premiers Sapins (Les);25585;Vanclans;;;LES PREMIERS SAPINS;VANCLANS;;;;VANCLANS;;
FÉVRIER 2016;25434;Ornans;25076;Bonnevaux-le-Prieuré;;;ORNANS;BONNEVAUX LE PRIEURE;;;;BONNEVAUX LE PRIEURE;;
FÉVRIER 2016;25529;Sancey;25530;Sancey-le-Long;;;SANCEY;SANCEY LE LONG;;;;SANCEY LE LONG;;
JUILLET 2016;25575;Vaire;25575;Vaire-Arcier;;;VAIRE;ARCIER;;;;VAIRE ARCIER;ARCIER;
OCTOBRE 2019;26086;Châtillon-en-Diois;26086;Châtillon-en-Diois;;;CHATILLON EN DIOIS;;;;;CHATILLON EN DIOIS;;
OCTOBRE 2019;26086;Châtillon-en-Diois;26354;Treschenu-Creyers;;;CHATILLON EN DIOIS;TRESCHENU CREYERS;;;;TRESCHENU CREYERS;;
FÉVRIER 2016;26179;Mercurol-Veaunes;26366;Veaunes;;;MERCUROL VEAUNES;VEAUNES;;;;VEAUNES;;
DÉCEMBRE 2018;26210;Valherbasse;26210;Montrigaud;;;VALHERBASSE;MONTRIGAUD;;;;MONTRIGAUD;;
DÉCEMBRE 2018;26210;Valherbasse;26297;Saint-Bonnet-de-Valclérieux;;;VALHERBASSE;ST BONNET DE VALCLERIEUX;;;;ST BONNET DE VALCLERIEUX;;
FÉVRIER 2016;27011;Amfreville-Saint-Amand;27506;Saint-Amand-des-Hautes-Terres;;;AMFREVILLE ST AMAND;ST AMAND DES HAUTES TERRES;;;;ST AMAND DES HAUTES TERRES;;
MARS 2016;27049;Mesnil-en-Ouche;27049;Beaumesnil;;;MESNIL EN OUCHE;BEAUMESNIL;;;;BEAUMESNIL;;
MARS 2016;27049;Mesnil-en-Ouche;27088;Bosc-Renoult-en-Ouche;;;MESNIL EN OUCHE;BOSC RENOULT EN OUCHE;;;;BOSC RENOULT EN OUCHE;;
MARS 2016;27049;Mesnil-en-Ouche;27283;Gisay-la-Coudre;;;MESNIL EN OUCHE;GISAY LA COUDRE;;;;GISAY LA COUDRE;;
MARS 2016;27049;Mesnil-en-Ouche;27356;Jonquerets-de-Livet;;;MESNIL EN OUCHE;JONQUERETS DE LIVET;;;;JONQUERETS DE LIVET;;
MARS 2016;27049;Mesnil-en-Ouche;27515;Saint-Aubin-le-Guichard;;;MESNIL EN OUCHE;ST AUBIN LE GUICHARD;;;;ST AUBIN LE GUICHARD;;
MARS 2016;27049;Mesnil-en-Ouche;27566;Sainte-Marguerite-en-Ouche;;;MESNIL EN OUCHE;STE MARGUERITE EN OUCHE;;;;STE MARGUERITE EN OUCHE;;
DÉCEMBRE 2016;27062;Monts du Roumois (Les);27344;Houlbec-près-le-Gros-Theil;;;LES MONTS DU ROUMOIS;HOULBEC PRES LE GROS THEIL;;;;HOULBEC PRES LE GROS THEIL;;
FÉVRIER 2016;27085;Flancourt-Crescy-en-Roumois;27085;Bosc-Bénard-Crescy;;;FLANCOURT CRESCY EN ROUMOIS;BOSC BENARD CRESCY;;;;BOSC BENARD CRESCY;;
FÉVRIER 2016;27085;Flancourt-Crescy-en-Roumois;27223;Épreville-en-Roumois;;;FLANCOURT CRESCY EN ROUMOIS;EPREVILLE EN ROUMOIS;;;;EPREVILLE EN ROUMOIS;;
DÉCEMBRE 2017;27089;Thénouville;27657;Touville;;;THENOUVILLE;TOUVILLE SUR MONTFORT;;;;TOUVILLE SUR MONTFORT;;
DÉCEMBRE 2016;27090;Bosroumois;27093;Bosnormand;;;BOSROUMOIS;BOSNORMAND;;;;BOSNORMAND;;
DÉCEMBRE 2016;27105;Grand Bourgtheroulde;27637;Thuit-Hébert;;;GRAND BOURGTHEROULDE;THUIT HEBERT;;;;THUIT HEBERT;;
FÉVRIER 2016;27112;Breteuil;27112;Breteuil;;;BRETEUIL;BRETEUIL SUR ITON;;;;BRETEUIL SUR ITON;;
FÉVRIER 2016;27112;Breteuil;27159;Cintray;;;BRETEUIL;CINTRAY;;;;CINTRAY;;
DÉCEMBRE 2016;27157;Marbois;27225;Essarts (Les);;;MARBOIS;LES ESSARTS;;;;LES ESSARTS;;
DÉCEMBRE 2016;27191;Clef Vallée d'Eure;27250;Fontaine-Heudebourg;;;CLEF VALLEE D EURE;FONTAINE HEUDEBOURG;;;;FONTAINE HEUDEBOURG;;
DÉCEMBRE 2016;27198;Mesnils-sur-Iton *;27024;Roncenay-Authenay (Le);;;MESNILS SUR ITON;LE RONCENAY AUTHENAY;;;;LE RONCENAY AUTHENAY;;
DÉCEMBRE 2016;27198;Mesnils-sur-Iton *;27198;Damville;;;MESNILS SUR ITON;LES MINIERES;;;;DAMVILLE;LES MINIERES;
OCTOBRE 2019;27198;Mesnils-sur-Iton;27198;Mesnils-sur-Iton;;;MESNILS SUR ITON;CONDE SUR ITON;;;;MESNILS SUR ITON;CONDE SUR ITON;
OCTOBRE 2019;27198;Mesnils-sur-Iton;27491;Roman;;;MESNILS SUR ITON;ROMAN;;;;ROMAN;;
DÉCEMBRE 2016;27213;Vexin-sur-Epte;27255;Fontenay;;;VEXIN SUR EPTE;FONTENAY EN VEXIN;;;;FONTENAY EN VEXIN;;
JUILLET 2019;27263;Perrey (Le);27607;Saint-Thurien;;;LE PERREY;ST THURIEN;;;;ST THURIEN;;
FÉVRIER 2016;27277;Baronnie (La);27484;Quessigny;;;LA BARONNIE;QUESSIGNY;;;;QUESSIGNY;;
DÉCEMBRE 2017;27290;Goupil-Othon;27290;Goupillières;;;GOUPIL OTHON;GOUPILLIERES;;;;GOUPILLIERES;;
FÉVRIER 2016;27302;Bosc du Theil (Le);27574;Saint-Nicolas-du-Bosc;;;LE BOSC DU THEIL;ST NICOLAS DU BOSC;;;;ST NICOLAS DU BOSC;;
DÉCEMBRE 2018;27541;Le Mesnil-Saint-Jean;27541;Saint-Georges-du-Mesnil;;;LE MESNIL ST JEAN;ST GEORGES DU MESNIL;;;;ST GEORGES DU MESNIL;;
FÉVRIER 2016;27693;Sylvains-Lès-Moulins;27693;Sylvains-les-Moulins;;;SYLVAINS LES MOULINS;COULONGES;;;;SYLVAINS LES MOULINS;COULONGES;
DÉCEMBRE 2016;28012;Commune nouvelle d'Arrou;28012;Arrou;;;COMMUNE NOUVELLE D ARROU;ARROU;;;;ARROU;;
DÉCEMBRE 2018;28018;Authon-du-Perche;28018;Authon-du-Perche;;;AUTHON DU PERCHE;;;;;AUTHON DU PERCHE;;
DÉCEMBRE 2016;28103;Cloyes-les-Trois-Rivières;28083;Charray;;;CLOYES LES TROIS RIVIERES;CHARRAY;;;;CHARRAY;;
DÉCEMBRE 2016;28103;Cloyes-les-Trois-Rivières;28150;Ferté-Villeneuil (La);;;CLOYES LES TROIS RIVIERES;LA FERTE VILLENEUIL;;;;LA FERTE VILLENEUIL;;
JUILLET 2019;28331;Saintigny;28331;Saint-Denis-d'Authou;;;SAINTIGNY;ST DENIS D AUTHOU;;;;ST DENIS D AUTHOU;;
DÉCEMBRE 2018;28334;Saint-Denis-Lanneray;28334;Saint-Denis-les-Ponts;;;ST DENIS LANNERAY;ST DENIS LES PONTS;;;;ST DENIS LES PONTS;;
FÉVRIER 2016;28406;Eole-en-Beauce *;28406;Viabon;;;EOLE EN BEAUCE;VIABON;;;;VIABON;;
DÉCEMBRE 2018;28406;Eole-en-Beauce;28406;Eole-en-Beauce;;;EOLE EN BEAUCE;BAIGNOLET;;;;EOLE EN BEAUCE;BAIGNOLET;
DÉCEMBRE 2018;28406;Eole-en-Beauce;28412;Villeau;;;EOLE EN BEAUCE;VILLEAU;;;;VILLEAU;;
DÉCEMBRE 2016;28422;Villages Vovéens (Les);28258;Montainville;;;LES VILLAGES VOVEENS;MONTAINVILLE;;;;MONTAINVILLE;;
DÉCEMBRE 2016;28422;Villages Vovéens (Les);28416;Villeneuve-Saint-Nicolas;;;LES VILLAGES VOVEENS;VILLENEUVE ST NICOLAS;;;;VILLENEUVE ST NICOLAS;;
OCTOBRE 2019;29227;Poullaouen;29129;Locmaria-Berrien;;;POULLAOUEN;LOCMARIA BERRIEN;;;;LOCMARIA BERRIEN;;
FÉVRIER 2016;29266;Saint-Thegonnec Loc-Eguiner;29127;Loc-Eguiner-Saint-Thégonnec;;;ST THEGONNEC LOC EGUINER;LOC EGUINER ST THEGONNEC;;;;LOC EGUINER ST THEGONNEC;;
DÉCEMBRE 2018;30339;Val-d'Aigoual;30339;Valleraugue;;;VAL D AIGOUAL;VALLERAUGUE;;;;VALLERAUGUE;;
FÉVRIER 2016;32079;Castelnau d'Auzan Labarrère;32168;Labarrère;;;CASTELNAU D AUZAN LABARRERE;LABARRERE;;;;LABARRERE;;
JUILLET 2019;32344;Riscle;32074;Cannet;;;RISCLE;CANNET;;;;CANNET;;
JUILLET 2019;32344;Riscle;32344;Riscle;;;RISCLE;;;;;RISCLE;;
DÉCEMBRE 2018;33008;Porte-de-Benauge;33092;Cantois;;;PORTE DE BENAUGE;CANTOIS;;;;CANTOIS;;
FÉVRIER 2016;33018;Val de Virvée;33371;Saint-Antoine;;;VAL DE VIRVEE;ST ANTOINE;;;;ST ANTOINE;;
DÉCEMBRE 2018;33055;Blaignan-Prignac;33055;Blaignan;;;BLAIGNAN PRIGNAC;BLAIGNAN;;;;BLAIGNAN;;
DÉCEMBRE 2016;33268;Margaux-Cantenac;33091;Cantenac;;;MARGAUX CANTENAC;CANTENAC;;;;CANTENAC;;
DÉCEMBRE 2018;35004;Val-Couesnon;35341;Tremblay;;;VAL COUESNON;TREMBLAY;;;;TREMBLAY;;
DÉCEMBRE 2016;35069;Châteaugiron;35069;Châteaugiron;;;CHATEAUGIRON;;;;;CHATEAUGIRON;;
DÉCEMBRE 2016;35191;Portes du Coglais (Les);35083;Coglès;;;LES PORTES DU COGLAIS;COGLES;;;;COGLES;;
DÉCEMBRE 2016;35257;Maen Roch;35257;Saint-Brice-en-Coglès;;;MAEN ROCH;ST BRICE EN COGLES;;;;ST BRICE EN COGLES;;
DÉCEMBRE 2018;35282;Rives-du-Couesnon;35269;Saint-Georges-de-Chesné;;;RIVES DU COUESNON;ST GEORGES DE CHESNE;;;;ST GEORGES DE CHESNE;;
DÉCEMBRE 2018;35292;Saint-Marc-le-Blanc;35011;Baillé;;;ST MARC LE BLANC;BAILLE;;;;BAILLE;;
OCTOBRE 2019;35308;Mesnil-Roc'h;35147;Lanhélin;;;MESNIL ROC H;LANHELIN;;;;LANHELIN;;
DÉCEMBRE 2016;37232;Côteaux-sur-Loire;37227;Saint-Michel-sur-Loire;;;COTEAUX SUR LOIRE;ST MICHEL SUR LOIRE;;;;ST MICHEL SUR LOIRE;;
DÉCEMBRE 2016;37232;Côteaux-sur-Loire;37232;Saint-Patrice;;;COTEAUX SUR LOIRE;ST PATRICE;;;;ST PATRICE;;
DÉCEMBRE 2017;37254;Tauxigny-Saint-Bauld;37254;Tauxigny;;;TAUXIGNY SAINT BAULD;TAUXIGNY;;;;TAUXIGNY;;
FÉVRIER 2016;38001;Abrets en Dauphiné (Les);38028;Bâtie-Divisin (La);;;LES ABRETS EN DAUPHINE;LA BATIE DIVISIN;;;;LA BATIE DIVISIN;;
JUILLET 2019;38073;Chantepérier;38302;Le Périer;;;CHANTEPERIER;LE PERIER;;;;LE PERIER;;
FÉVRIER 2016;38225;Autrans-Méaudre en Vercors;38021;Autrans;;;AUTRANS MEAUDRE EN VERCORS;AUTRANS;;;;AUTRANS;;
DÉCEMBRE 2016;38297;Arandon-Passins;38014;Arandon;;;ARANDON PASSINS;ARANDON;;;;ARANDON;;
FÉVRIER 2016;38359;Saint Antoine l'Abbaye;38145;Dionay;;;ST ANTOINE L ABBAYE;DIONAY;;;;DIONAY;;
DÉCEMBRE 2016;38439;Crêts en Belledonne;38439;Saint-Pierre-d'Allevard;;;CRETS EN BELLEDONNE;ST PIERRE D ALLEVARD;;;;ST PIERRE D ALLEVARD;;
DÉCEMBRE 2016;38456;Châtel-en-Trièves;38456;Saint-Sébastien;;;CHATEL EN TRIEVES;ST SEBASTIEN;;;;ST SEBASTIEN;;
OCTOBRE 2019;38479;Porte des Bonnevaux;38121;Commelle;;;PORTE DES BONNEVAUX;COMMELLE;;;;COMMELLE;;
DÉCEMBRE 2016;39021;Chailleuse (La);39488;Saint-Laurent-la-Roche;;;LA CHAILLEUSE;ST LAURENT LA ROCHE;;;;ST LAURENT LA ROCHE;;
DÉCEMBRE 2016;39021;Chailleuse (La);39544;Varessia;;;LA CHAILLEUSE;VARESSIA;;;;VARESSIA;;
JUILLET 2019;39130;Nanchez;39130;Nanchez;;;NANCHEZ;CHAUX DES PRES;;;;NANCHEZ;CHAUX DES PRES;
JUILLET 2019;39130;Nanchez;39417;Piards (Les);;;NANCHEZ;LES PIARDS;;;;LES PIARDS;;
JUILLET 2019;39130;Nanchez;39562;Villard-sur-Bienne;;;NANCHEZ;VILLARD SUR BIENNE;;;;VILLARD SUR BIENNE;;
JUILLET 2019;39137;Saint-Hymetière-sur-Valouse;39137;Chemilla;;;ST HYMETIERE SUR VALOUSE;CHEMILLA;;;;CHEMILLA;;
DÉCEMBRE 2016;39177;Hauteroche;39177;Crançot;;;HAUTEROCHE;CRANCOT;;;;CRANCOT;;
DÉCEMBRE 2016;39177;Hauteroche;39260;Granges-sur-Baume;;;HAUTEROCHE;GRANGES SUR BAUME;;;;GRANGES SUR BAUME;;
JUILLET 2019;39190;Dampierre;39190;Dampierre;;;DAMPIERRE;;;;;DAMPIERRE;;
DÉCEMBRE 2017;39209;Val-d'Épy;39209;Val d'Epy;;;VAL D EPY;;;;;VAL D EPY;;
DÉCEMBRE 2016;39273;Montlainsia;39195;Dessia;;;MONTLAINSIA;DESSIA;;;;DESSIA;;
DÉCEMBRE 2016;39273;Montlainsia;39273;Lains;;;MONTLAINSIA;LAINS;;;;LAINS;;
DÉCEMBRE 2016;39273;Montlainsia;39347;Montagna-le-Templier;;;MONTLAINSIA;MONTAGNA LE TEMPLIER;;;;MONTAGNA LE TEMPLIER;;
DÉCEMBRE 2016;39290;Valzin en Petite Montagne;39224;Fétigny;;;VALZIN EN PETITE MONTAGNE;FETIGNY;;;;FETIGNY;;
DÉCEMBRE 2016;39290;Valzin en Petite Montagne;39506;Savigna;;;VALZIN EN PETITE MONTAGNE;SAVIGNA;;;;SAVIGNA;;
JUILLET 2019;39339;Chassal-Molinges;39113;Chassal;;;CHASSAL MOLINGES;CHASSAL;;;;CHASSAL;;
AVRIL 2016;39378;Trois Châteaux (Les) *;39135;Chazelles;;;LES TROIS CHATEAUX;CHAZELLES;;;;CHAZELLES;;
OCTOBRE 2019;39378;Trois Châteaux (Les);39378;Trois Châteaux (Les);;;LES TROIS CHATEAUX;L AUBEPIN;;;;LES TROIS CHATEAUX;L AUBEPIN;
DÉCEMBRE 2016;39485;Val Suran;39485;Saint-Julien;;;VAL SURAN;ST JULIEN;;;;ST JULIEN;;
OCTOBRE 2017;39530;Thoirette-Coisia;39530;Thoirette;;;THOIRETTE COISIA;THOIRETTE;;;;THOIRETTE;;
DÉCEMBRE 2016;41055;Valloire-sur-Cisse;41064;Coulanges;;;VALLOIRE SUR CISSE;COULANGES;;;;COULANGES;;
OCTOBRE 2019;41059;Controis-en-Sologne (Le);41170;Ouchamps;;;LE CONTROIS EN SOLOGNE;OUCHAMPS;;;;OUCHAMPS;;
OCTOBRE 2019;41070;Vallée-de-Ronsard;41070;Couture-sur-Loir;;;VALLEE DE RONSARD;COUTURE SUR LOIR;;;;COUTURE SUR LOIR;;
DÉCEMBRE 2016;41142;Valencisse *;41142;Molineuf;;;VALENCISSE;MOLINEUF;;;;MOLINEUF;;
OCTOBRE 2017;41142;Valencisse;41142;Valencisse;;;VALENCISSE;MOLINEUF;;;;VALENCISSE;MOLINEUF;
DÉCEMBRE 2016;41167;Veuzain-sur-Loire;41167;Onzain;;;VEUZAIN SUR LOIRE;ONZAIN;;;;ONZAIN;;
DÉCEMBRE 2016;41171;Oucques la Nouvelle;41011;Baigneaux;;;OUCQUES LA NOUVELLE;BAIGNEAUX;;;;BAIGNEAUX;;
DÉCEMBRE 2016;41173;Beauce la Romaine;41173;Ouzouer-le-Marché;;;BEAUCE LA ROMAINE;OUZOUER LE MARCHE;;;;OUZOUER LE MARCHE;;
FÉVRIER 2016;42039;Chalmazel-Jeansagnière;42039;Chalmazel;;;CHALMAZEL JEANSAGNIERE;CHALMAZEL;;;;CHALMAZEL;;
FÉVRIER 2016;42039;Chalmazel-Jeansagnière;42114;Jeansagnière;;;CHALMAZEL JEANSAGNIERE;JEANSAGNIERE;;;;JEANSAGNIERE;;
DÉCEMBRE 2018;42268;Vézelin-sur-Loire;42082;Dancé;;;VEZELIN SUR LOIRE;DANCE;;;;DANCE;;
DÉCEMBRE 2016;44021;Villeneuve-en-Retz;44021;Bourgneuf-en-Retz;;;VILLENEUVE EN RETZ;BOURGNEUF EN RETZ;;;;BOURGNEUF EN RETZ;;
DÉCEMBRE 2016;44163;Vair-sur-Loire;44163;Saint-Herblon;;;VAIR SUR LOIRE;ST HERBLON;;;;ST HERBLON;;
MAI 2018;44180;Vallons-de-l'Erdre;44093;Maumusson;;;VALLONS DE L ERDRE;MAUMUSSON;;;;MAUMUSSON;;
DÉCEMBRE 2016;44213;Loireauxence;44147;Rouxière (La);;;LOIREAUXENCE;LA ROUXIERE;;;;LA ROUXIERE;;
DÉCEMBRE 2016;45051;Bray-Saint-Aignan;45051;Bray-en-Val;;;BRAY ST AIGNAN;BRAY EN VAL;;;;BRAY EN VAL;;
DÉCEMBRE 2016;45191;Malesherbois (Le);45191;Malesherbes;;;LE MALESHERBOIS;MALESHERBES;;;;MALESHERBES;;
DÉCEMBRE 2016;45191;Malesherbois (Le);45236;Orveau-Bellesauve;;;LE MALESHERBOIS;ORVEAU BELLESAUVE;;;;ORVEAU BELLESAUVE;;
AVRIL 2019;45307;Selle-sur-le-Bied (La);45307;Selle-sur-le-Bied (La);;;LA SELLE SUR LE BIED;;;;;LA SELLE SUR LE BIED;;
JUILLET 2019;46033;Porte-du-Quercy;46099;Fargues;;;PORTE DU QUERCY;FARGUES;;;;FARGUES;;
DÉCEMBRE 2016;46063;Castelnau Montratier-Sainte Alauzie;46248;Sainte-Alauzie;;;CASTELNAU MONTRATIER STE ALAUZIE;STE ALAUZIE;;;;STE ALAUZIE;;
DÉCEMBRE 2016;46138;Cœur de Causse;46325;Vaillac;;;CŒUR DE CAUSSE;VAILLAC;;;;VAILLAC;;
FÉVRIER 2016;46201;Montcuq-en-Quercy-Blanc;46025;Belmontet;;;MONTCUQ EN QUERCY BLANC;BELMONTET;;;;BELMONTET;;
JUILLET 2019;46232;Vignon-en-Quercy (Le);46067;Cazillac;;;LE VIGNON EN QUERCY;CAZILLAC;;;;CAZILLAC;;
OCTOBRE 2018;46262;Lendou-en-Quercy;46274;Saint-Laurent-Lolmie;;;LENDOU EN QUERCY;ST LAURENT LOLMIE;;;;ST LAURENT LOLMIE;;
JUILLET 2019;46263;Barguelonne-en-Quercy;46014;Bagat-en-Quercy;;;BARGUELONNE EN QUERCY;BAGAT EN QUERCY;;;;BAGAT EN QUERCY;;
DÉCEMBRE 2016;46268;Saint Géry - Vers;46268;Saint-Géry;;;ST GERY VERS;ST GERY;;;;ST GERY;;
FÉVRIER 2016;46311;Sousceyrac-en-Quercy;46048;Calviac;;;SOUSCEYRAC EN QUERCY;CALVIAC;;;;CALVIAC;;
FÉVRIER 2016;46311;Sousceyrac-en-Quercy;46311;Sousceyrac;;;SOUSCEYRAC EN QUERCY;SOUSCEYRAC;;;;SOUSCEYRAC;;
DÉCEMBRE 2016;48009;Peyre en Aubrac;48009;Aumont-Aubrac;;;PEYRE EN AUBRAC;AUMONT AUBRAC;;;;AUMONT AUBRAC;;
DÉCEMBRE 2016;48027;Mont Lozère et Goulet;48014;Bagnols-les-Bains;;;MONT LOZERE ET GOULET;BAGNOLS LES BAINS;;;;BAGNOLS LES BAINS;;
DÉCEMBRE 2016;48027;Mont Lozère et Goulet;48027;Bleymard (Le);;;MONT LOZERE ET GOULET;LE BLEYMARD;;;;LE BLEYMARD;;
DÉCEMBRE 2016;48027;Mont Lozère et Goulet;48164;Saint-Julien-du-Tournel;;;MONT LOZERE ET GOULET;ST JULIEN DU TOURNEL;;;;ST JULIEN DU TOURNEL;;
FÉVRIER 2016;48050;Bedoues-Cocures;48050;Cocurès;;;BEDOUES COCURES;COCURES;;;;COCURES;;
FÉVRIER 2016;48061;Florac Trois Rivières;48186;Salle-Prunet (La);;;FLORAC TROIS RIVIERES;LA SALLE PRUNET;;;;LA SALLE PRUNET;;
DÉCEMBRE 2016;49003;Tuffalun;49003;Ambillou-Château;;;TUFFALUN;AMBILLOU CHATEAU;;;;AMBILLOU CHATEAU;;
DÉCEMBRE 2016;49003;Tuffalun;49181;Louerre;;;TUFFALUN;LOUERRE;;;;LOUERRE;;
FÉVRIER 2016;49018;Baugé-en-Anjou;49018;Baugé-en-Anjou;;;BAUGE EN ANJOU;ST MARTIN D ARCE;;;;BAUGE EN ANJOU;ST MARTIN D ARCE;
FÉVRIER 2016;49018;Baugé-en-Anjou;49018;Baugé-en-Anjou;;;BAUGE EN ANJOU;;;;;BAUGE EN ANJOU;;
FÉVRIER 2016;49018;Baugé-en-Anjou;49101;Clefs-Val d'Anjou;;;BAUGE EN ANJOU;VAULANDRY;;;;CLEFS VAL D ANJOU;VAULANDRY;
FÉVRIER 2016;49018;Baugé-en-Anjou;49116;Cuon;;;BAUGE EN ANJOU;CUON;;;;CUON;;
FÉVRIER 2016;49018;Baugé-en-Anjou;49157;Guédeniau (Le);;;BAUGE EN ANJOU;LE GUEDENIAU;;;;LE GUEDENIAU;;
FÉVRIER 2016;49023;Beaupréau-en-Mauges;49151;Gesté;;;BEAUPREAU EN MAUGES;GESTE;;;;GESTE;;
FÉVRIER 2016;49023;Beaupréau-en-Mauges;49239;Pin-en-Mauges  (Le);;;BEAUPREAU EN MAUGES;LE PIN EN MAUGES;;;;LE PIN EN MAUGES;;
FÉVRIER 2016;49023;Beaupréau-en-Mauges;49312;Saint-Philbert-en-Mauges;;;BEAUPREAU EN MAUGES;ST PHILBERT EN MAUGES;;;;ST PHILBERT EN MAUGES;;
FÉVRIER 2016;49023;Beaupréau-en-Mauges;49375;Villedieu-la-Blouère;;;BEAUPREAU EN MAUGES;VILLEDIEU LA BLOUERE;;;;VILLEDIEU LA BLOUERE;;
DÉCEMBRE 2016;49050;Brissac Loire Aubance;49078;Charcé-Saint-Ellier-sur-Aubance;;;BRISSAC LOIRE AUBANCE;ST ELLIER;;;;CHARCE ST ELLIER SUR AUBANCE;ST ELLIER;
DÉCEMBRE 2016;49050;Brissac Loire Aubance;49091;Chemellier;;;BRISSAC LOIRE AUBANCE;CHEMELLIER;;;;CHEMELLIER;;
DÉCEMBRE 2016;49050;Brissac Loire Aubance;49318;Saint-Saturnin-sur-Loire;;;BRISSAC LOIRE AUBANCE;ST SATURNIN SUR LOIRE;;;;ST SATURNIN SUR LOIRE;;
DÉCEMBRE 2016;49065;Hauts d'Anjou (Les) *;49051;Brissarthe;;;LES HAUTS D ANJOU;BRISSARTHE;;;;BRISSARTHE;;
DÉCEMBRE 2016;49065;Hauts d'Anjou (Les) *;49189;Marigné;;;LES HAUTS D ANJOU;MARIGNE;;;;MARIGNE;;
DÉCEMBRE 2016;49065;Hauts d'Anjou (Les) *;49335;Sœurdres;;;LES HAUTS D ANJOU;SOEURDRES;;;;SOEURDRES;;
DÉCEMBRE 2016;49069;Orée d'Anjou;49270;Saint-Christophe-la-Couperie;;;OREE D ANJOU;ST CHRISTOPHE LA COUPERIE;;;;ST CHRISTOPHE LA COUPERIE;;
DÉCEMBRE 2016;49069;Orée d'Anjou;49320;Saint-Sauveur-de-Landemont;;;OREE D ANJOU;ST SAUVEUR DE LANDEMONT;;;;ST SAUVEUR DE LANDEMONT;;
DÉCEMBRE 2016;49086;Terranjou;49227;Notre-Dame-d'Allençon;;;TERRANJOU;NOTRE DAME D ALLENCON;;;;NOTRE DAME D ALLENCON;;
FÉVRIER 2016;49092;Chemillé-en-Anjou;49071;Chanzeaux;;;CHEMILLE EN ANJOU;CHANZEAUX;;;;CHANZEAUX;;
FÉVRIER 2016;49092;Chemillé-en-Anjou;49092;Chemillé-Melay;;;CHEMILLE EN ANJOU;CHEMILLE MELAY;;;;CHEMILLE MELAY;;
FÉVRIER 2016;49092;Chemillé-en-Anjou;49153;Valanjou;;;CHEMILLE EN ANJOU;JOUE ETIAU;;;;VALANJOU;JOUE ETIAU;
FÉVRIER 2016;49092;Chemillé-en-Anjou;49351;Tourlandry  (La);;;CHEMILLE EN ANJOU;LA TOURLANDRY;;;;LA TOURLANDRY;;
DÉCEMBRE 2016;49125;Doué-en-Anjou;49141;Forges;;;DOUE EN ANJOU;FORGES;;;;FORGES;;
